"date","weighted","close","high","low","open","volume"
"2020-07-25 20:07:00","48.14","48.14","51.69","47.96","49.18","75512788.49"
"2020-07-26 20:07:00","51.37","53.35","55.97","47","48.13","66318579.4"
"2020-07-27 20:07:00","55.87","55.87","57.36","52.42","53.35","131559061.08"
"2020-07-28 20:07:00","55.22","55.22","57.24","54.79","55.87","78083216.19"
"2020-07-29 20:07:00","56.78","56.78","58.95","54.76","55.22","94954922.29"
"2020-07-30 20:07:00","58.23","58.23","59.52","57.56","56.78","69611672.48"
"2020-07-31 20:07:00","61.7","61.7","62.57","59.68","58.23","108892286.55"
"2020-08-01 20:08:00","56.74","56.74","60.16","55.25","61.7","119297580.09"
"2020-08-02 20:08:00","58.54","58.54","58.79","57.23","56.74","67026420.93"
"2020-08-03 20:08:00","57.63","57.63","58.55","57.05","58.54","53477185.46"
"2020-08-04 20:08:00","58.92","58.92","60.96","58.82","57.63","57069461.33"
"2020-08-05 20:08:00","59.09","59.09","60.25","58.34","58.92","58202945.87"
"2020-08-06 20:08:00","58.54","57.21","61.01","55.22","59.09","33174990.67"
"2020-08-07 20:08:00","57.71","58.41","58.55","56.53","57.21","14466622.53"
"2020-08-08 20:08:00","57.35","56.97","58.68","56.17","58.41","13646511.57"
"2020-08-09 20:08:00","58.33","58.33","59.26","57.35","56.98","52207851.19"
"2020-08-10 20:08:00","56.08","54.12","59.68","52.55","58.32","31075004.21"
"2020-08-11 20:08:00","54.16","54.55","55.05","51.7","54.12","19160416.36"
"2020-08-12 20:08:00","57.17","57.17","57.51","54.24","54.52","50126298.67"
"2020-08-13 20:08:00","56.81","56.81","57.91","55.95","57.19","22820646.58"
"2020-08-14 20:08:00","58.93","59.92","60.87","56.78","56.81","37653946.1"
"2020-08-15 20:08:00","61.74","63.92","64.56","58.41","59.92","44941848.45"
"2020-08-16 20:08:00","65.56","67.29","68.96","61.49","63.92","75986629.52"
"2020-08-17 20:08:00","66.41","65.51","68.45","63.69","67.29","61569942.24"
"2020-08-18 20:08:00","62.41","62.11","67.12","58.88","65.51","50099948.39"
"2020-08-19 20:08:00","62.66","62.82","63.66","61.08","62.11","48796344.62"
"2020-08-20 20:08:00","61.41","59.16","63.83","58.82","62.82","59943035.43"
"2020-08-21 20:08:00","59.35","60.25","60.5","57.8","59.16","47596625.26"
"2020-08-22 20:08:00","59.63","60.55","61.59","58.06","60.25","37337741.41"
"2020-08-23 20:08:00","61.9","62.11","63","60.01","60.55","45442241.68"
"2020-08-24 20:08:00","59.78","58.44","62.27","56.72","62.11","33350143.27"
"2020-08-25 20:08:00","58.15","58.15","59.09","57.88","58.39","46882864.58"
"2020-08-26 20:08:00","56.11","56.11","58.01","55.05","58.15","56429135.48"
"2020-08-27 20:08:00","57.42","57.42","58.39","56.58","56.11","54730278.91"
"2020-08-28 20:08:00","57.15","57.15","57.92","56.98","57.42","31802490.2"
"2020-08-29 20:08:00","60.57","62.9","62.93","56.97","57.01","33132065.65"
"2020-08-30 20:08:00","60.99","60.99","63.29","60.5","62.91","62789117.1"
"2020-08-31 20:08:00","62.73","62.73","63.84","61.74","60.99","70236850.23"
"2020-09-01 20:09:00","58.1","58.1","60.58","57.64","62.73","54809996.38"
"2020-09-02 20:09:00","53.84","48.37","58.65","45.81","58.1","44703604.43"
"2020-09-03 20:09:00","49.6","50.48","52.35","47.01","48.37","24842387.04"
"2020-09-04 20:09:00","48.31","47.77","51.3","45.46","50.48","30550877.38"
"2020-09-05 20:09:00","47.95","47.95","49.05","47.41","47.8","34347134.19"
"2020-09-06 20:09:00","48.85","48.85","49.56","47.43","47.95","44101419.35"
"2020-09-07 20:09:00","47.45","47.45","48.32","46.99","48.85","42230239.88"
"2020-09-08 20:09:00","47.86","47.86","48.38","47.68","47.45","43234585.37"
"2020-09-09 20:09:00","48.7","48.7","49.26","48.28","47.86","40472977.38"
"2020-09-10 20:09:00","49.02","49.02","49.57","48.32","48.7","41083520.31"
"2020-09-11 20:09:00","50.85","50.85","51.15","49.11","49.02","57066207.11"
"2020-09-12 20:09:00","48.15","48.15","50.36","47.76","50.85","40584712.98"
"2020-09-13 20:09:00","49.12","49.12","49.77","48.62","48.15","53750197.32"
"2020-09-14 20:09:00","48.31","48.31","50.2","48.26","49.12","45815629.62"
"2020-09-15 20:09:00","47.76","47.76","49.08","47.73","48.31","44312740.06"
"2020-09-16 20:09:00","48.88","48.88","49.38","47.7","47.76","33533666.39"
"2020-09-17 20:09:00","48.54","48.54","48.97","48.07","48.88","46589983.24"
"2020-09-18 20:09:00","48.52","48.52","49.2","48.42","48.54","37253695.68"
"2020-09-19 20:09:00","47.1","47.1","48.13","46.75","48.52","32751380.12"
"2020-09-20 20:09:00","43.14","43.14","45.21","42.42","47.1","37920150.32"
"2020-09-21 20:09:00","44.5","44.5","44.7","43.48","43.14","27898886.41"
"2020-09-22 20:09:00","42.96","42.96","43.93","42.77","44.5","21499197.5"
"2020-09-23 20:09:00","44.97","44.97","45.81","44.84","42.96","20336777.67"
"2020-09-24 20:09:00","46.03","46.03","46.65","44.34","44.97","26326665.23"
"2020-09-25 20:09:00","46.03","46.03","46.52","45.47","46.03","16614865.07"
"2020-09-26 20:09:00","46.09","46.09","46.57","45.39","46.03","19297986.44"
"2020-09-27 20:09:00","45.25","45.25","46.1","45.02","46.09","26522666.31"
"2020-09-28 20:09:00","45.7","45.7","46.3","45.59","45.25","27840635.2"
"2020-09-29 20:09:00","46.27","46.27","46.62","45.33","45.7","34870507.84"
"2020-09-30 20:09:00","46.27","46.27","47.39","45.48","46.27","40567773.17"
"2020-10-01 20:10:00","44.94","44.94","46.6","44.41","46.27","37196991.71"
"2020-10-02 20:10:00","45.56","45.56","45.88","44.8","44.94","28638855.88"
"2020-10-03 20:10:00","46.72","46.72","46.96","45.93","45.56","39124786.13"
"2020-10-04 20:10:00","46.35","46.35","47.34","46.03","46.72","33313488.16"
"2020-10-05 20:10:00","46","46","47.59","45.4","46.35","43366433.97"
"2020-10-06 20:10:00","46.6","46.6","46.93","45.57","46","34389194.34"
"2020-10-07 20:10:00","47.24","47.24","47.79","47.11","46.6","35238350.25"
"2020-10-08 20:10:00","47.8","47.8","48.04","47.48","47.24","38533760.63"
"2020-10-09 20:10:00","48.89","48.89","49.86","48.36","47.8","34051607.85"
"2020-10-10 20:10:00","50.53","50.53","51.06","49.11","48.89","35473794.4"
"2020-10-11 20:10:00","50.62","50.62","51.56","50.45","50.53","37609210.77"
"2020-10-12 20:10:00","49.95","49.95","50.2","49.34","50.62","27746348.44"
"2020-10-13 20:10:00","49.84","49.84","50.8","49.64","49.95","26438367.87"
"2020-10-14 20:10:00","49.57","49.57","50.73","49.35","49.84","26656804.43"
"2020-10-15 20:10:00","47.64","47.64","48.99","46.17","49.57","34816454.93"
"2020-10-16 20:10:00","46.96","46.96","47.82","46.7","47.64","22609429.76"
"2020-10-17 20:10:00","47.58","47.58","48","47.49","46.96","15656567.31"
"2020-10-18 20:10:00","48.03","48.03","48.6","48","47.58","22331761.32"
"2020-10-19 20:10:00","46.92","46.92","49.07","46.46","48.03","24150325.01"
"2020-10-20 20:10:00","51.46","53.14","55.08","46.91","46.93","47677510.5"
"2020-10-21 20:10:00","54.46","54.46","57.16","53.83","53.1","86684133.03"
"2020-10-22 20:10:00","55.45","55.45","56.65","53.52","54.46","63594325.25"
"2020-10-23 20:10:00","59.28","59.28","59.84","55.89","55.45","75454638.79"
"2020-10-24 20:10:00","58.87","58.87","60.13","57","59.28","67239280.12"
"2020-10-25 20:10:00","56.88","56.88","59.22","56.2","58.87","62027325.48"
"2020-10-26 20:10:00","57.95","57.95","60.6","57.27","56.88","46383141.05"
"2020-10-27 20:10:00","55.84","55.84","58.52","55.38","57.95","32988418.06"
"2020-10-28 20:10:00","54.94","54.94","57.28","54.48","55.84","34825605.57"
"2020-10-29 20:10:00","54.07","54.07","55.99","53.69","54.94","47855404.13"
"2020-10-30 20:10:00","55.79","55.79","56.11","54.68","54.07","49819989.06"
"2020-10-31 20:10:00","55.64","55.64","55.89","54.48","55.79","37625641.79"
"2020-11-01 19:11:00","53.89","53.89","55.75","53.63","55.64","42561706.03"
"2020-11-02 19:11:00","53.99","53.99","56.11","52.59","53.89","21300211.89"
"2020-11-03 19:11:00","54.78","54.78","55.29","53.22","53.99","24650359.85"
"2020-11-04 19:11:00","57.27","59","59.68","54.71","54.71","15098131.55"
"2020-11-05 19:11:00","61.46","63.36","63.67","58.71","59","25696084.21"
"2020-11-06 19:11:00","61.48","58.98","64.7","57.27","63.36","22503718.44"
"2020-11-07 19:11:00","60.36","61","62","58.71","58.98","11333199.87"
"2020-11-08 19:11:00","59.62","59.24","61.7","57.49","61","13661936.57"
"2020-11-09 19:11:00","58.32","57.96","59.62","57.21","59.24","12515879.97"
"2020-11-10 19:11:00","59.66","59.33","60.59","57.91","57.96","24184220.08"
"2020-11-11 19:11:00","58.97","60.75","60.79","57.73","59.33","24624655.19"
"2020-11-12 19:11:00","65.94","65.94","67.05","60.45","60.81","136345839.76"
"2020-11-13 19:11:00","63.87","63.87","65.25","63.11","65.94","70604360.31"
"2020-11-14 19:11:00","62.34","62.34","63.92","61.77","63.87","41146870.53"
"2020-11-15 19:11:00","69.4","73.84","74.58","62.18","62.36","89829616.15"
"2020-11-16 19:11:00","76.4","76.4","79.9","73.11","73.89","178985187.27"
"2020-11-17 19:11:00","73.07","73.52","77.13","68.56","76.39","77245625.97"
"2020-11-18 19:11:00","78.43","81.65","83.47","71.54","73.52","114184671.78"
"2020-11-19 19:11:00","82.58","82.62","85.66","80.15","81.65","95127667.38"
"2020-11-20 19:11:00","84.41","87.17","88.44","80.53","82.62","112910278.35"
"2020-11-21 19:11:00","83.83","82.95","87.95","78.56","87.17","91186754.22"
"2020-11-22 19:11:00","86.9","89.14","90.89","80.9","82.95","124889610.01"
"2020-11-23 19:11:00","89.78","89.3","93.97","86.29","89.14","133554057.46"
"2020-11-24 19:11:00","86.01","81.77","90.66","78.31","89.3","86556944.23"
"2020-11-25 19:11:00","72.25","71.03","83.21","64.65","81.77","135853651.83"
"2020-11-26 19:11:00","69.82","69.19","73.53","66.78","71.03","61277396.83"
